,Topic_1
Term_11551,canada
Term_11552,canada japan
Term_11553,canada japan united
Term_11554,canada stands
Term_11555,canada stands comparison
Term_11556,canadian
Term_11557,canadian coal
Term_11558,canadian coal petroleum
Term_11559,canadian collaboration
Term_11560,canadian collaboration networks
Term_11561,canadian industry
Term_11562,canadian industry meeting
Term_11563,canadian journals
Term_11564,canadian research
Term_11565,canadian research activity
Term_11566,canadian united
Term_11567,canadian united states
Term_11568,canadian universities
Term_11569,cancer
Term_11570,cancer articles
Term_11571,cancer community
Term_11572,cancer knowledge
Term_11573,cancer knowledge online
Term_11574,cancer mission
Term_11575,cancer mission social
Term_11576,cancer patients
Term_11577,cancer patients companions
Term_11578,cancer problem
Term_11579,cancer problem domain
Term_11580,cancer pubmed
Term_11581,cancer pubmed clinicaltrials
Term_11582,cancer research
Term_11583,cancer research 1990
Term_11584,cancer research collaboration
Term_11585,cancer research institute
Term_11586,cancer researchers
Term_11587,cancer researchers 1996
Term_11588,cancer researchers 2008
Term_11589,candidate
Term_11590,candidates
Term_11591,candidates personalities
Term_11592,candidates personalities twitter
Term_11593,candidates professorship
Term_11594,candidates supervisors
Term_11595,candidates supervisors chinese
Term_11596,candlestick
Term_11597,candlestick maker
Term_11598,candlestick maker predicting
Term_11599,canonical
Term_11600,canonical biplot
Term_11601,canonical biplot analysis
Term_11602,canonical transforms
Term_11603,capabilities
Term_11604,capabilities approach
Term_11605,capabilities assessment
Term_11606,capabilities phd
Term_11607,capabilities phd programs
Term_11608,capabilities profile
Term_11609,capabilities profile case
Term_11610,capabilities solar
Term_11611,capabilities solar photovoltaic
Term_11612,capabilities technological
Term_11613,capabilities technological performance
Term_11614,capability
Term_11615,capability computer
Term_11616,capability computer supported
Term_11617,capability development
Term_11618,capability development process
Term_11619,capability review
Term_11620,capability review empirical
Term_11621,capability smes
Term_11622,capability smes stage
Term_11623,capability south
Term_11624,capability south african
Term_11625,capacities
Term_11626,capacities 1986
Term_11627,capacities 1986 2010
Term_11628,capacity
Term_11629,capacity attitude
Term_11630,capacity attitude complex
Term_11631,capacity building
Term_11632,capacity building holding
Term_11633,capacity field
Term_11634,capacity patent
Term_11635,capacity patent indicators
Term_11636,capacity productivity
Term_11637,capacity productivity impact
Term_11638,capacity research
Term_11639,capacity research profiling
Term_11640,capacity transmission
Term_11641,capacity transmission power
Term_11642,capita
Term_11643,capita gdp
Term_11644,capita gdp scientometric
Term_11645,capita income
Term_11646,capita income international
Term_11647,capital
Term_11648,capital academia
Term_11649,capital academic
Term_11650,capital academic discipline
Term_11651,capital based
Term_11652,capital based approach
Term_11653,capital cities
Term_11654,capital cities new
Term_11655,capital collegiality
Term_11656,capital collegiality stardom
Term_11657,capital digital
Term_11658,capital digital inequalities
Term_11659,capital expenditures
Term_11660,capital expenditures patenting
Term_11661,capital formation
Term_11662,capital harnessing
Term_11663,capital harnessing power
Term_11664,capital information
Term_11665,capital information seeking
Term_11666,capital information technology
Term_11667,capital investment
Term_11668,capital investment prioritization
Term_11669,capital knowledge
Term_11670,capital knowledge integration
Term_11671,capital merely
Term_11672,capital merely affordable
Term_11673,capital scientists
Term_11674,capital scientists performance
Term_11675,capital search
Term_11676,capital search information
Term_11677,capital teams
Term_11678,capital teams natural
Term_11679,capital value
Term_11680,capital value measure
Term_11681,capitalism
Term_11682,capitalism socialism
Term_11683,capitalism socialism technology
Term_11684,capitalizing
Term_11685,capitalizing order
Term_11686,capitalizing order effects
Term_11687,capitals
Term_11688,capitals public
Term_11689,capitals public research
Term_11690,capture
Term_11691,capture mechanisms
Term_11692,capture mechanisms methods
Term_11693,capturing
Term_11694,capturing changes
Term_11695,capturing changes knowledge
Term_11696,capturing collabportunities
Term_11697,capturing collabportunities method
Term_11698,capturing diffusing
Term_11699,capturing diffusing scientific
Term_11700,capturing new
Term_11701,capturing new developments
Term_11702,capturing organizing
Term_11703,capturing organizing vision
Term_11704,carbides
Term_11705,carbides research
Term_11706,carbo
Term_11707,carbo memoriam
Term_11708,carbon
Term_11709,carbon nanotube
Term_11710,carbon nanotube field
Term_11711,carbon nanotubes
Term_11712,carbon nanotubes graphene
Term_11713,card
Term_11714,card systems
Term_11715,card systems early
Term_11716,cardiovascular
Term_11717,cardiovascular biology
Term_11718,cardiovascular medical
Term_11719,cardiovascular medical device
Term_11720,cardiovascular research
Term_11721,cardiovascular research spain
Term_11722,cards
Term_11723,cards catalogs
Term_11724,cards catalogs 1548
Term_11725,cards dewey
Term_11726,cards dewey decimal
Term_11727,care
Term_11728,care database
Term_11729,care database study
Term_11730,care ethiopia
Term_11731,care ii
Term_11732,care ii task
Term_11733,care information
Term_11734,care information sharing
Term_11735,care mexico
Term_11736,care mexico non
Term_11737,care protect
Term_11738,care protect privacy
Term_11739,care sciences
Term_11740,care sciences services
Term_11741,career
Term_11742,career advancement
Term_11743,career advancement scientific
Term_11744,career analysis
Term_11745,career attainment
Term_11746,career attainment achieving
Term_11747,career choices
Term_11748,career grants
Term_11749,career grants performance
Term_11750,career index
Term_11751,career index sequences
Term_11752,career length
Term_11753,career length differences
Term_11754,career migration
Term_11755,career migration field
Term_11756,career options
Term_11757,career options librarians
Term_11758,career paths
Term_11759,career paths scientists
Term_11760,career prospects
Term_11761,career prospects female
Term_11762,career stages
Term_11763,career stages scientists
Term_11764,career success
Term_11765,career success nobel
Term_11766,careers
Term_11767,careers astronomers
Term_11768,careers astronomers doctoral
Term_11769,careers computer
Term_11770,careers computer science
Term_11771,careers employment
Term_11772,careers employment education
Term_11773,careers longitudinal
Term_11774,careers longitudinal case
Term_11775,careers researchers
Term_11776,careers science
Term_11777,careers science policy
Term_11778,careers study
Term_11779,careers study predictive
Term_11780,careers young
Term_11781,careers young polish
Term_11782,carers
Term_11783,caribbean
Term_11784,caribbean 1981
Term_11785,caribbean 1981 1993
Term_11786,caribbean 2003
Term_11787,caribbean 2003 2007
Term_11788,caribbean effect
Term_11789,caribbean effect impact
Term_11790,caribbean journals
Term_11791,caribbean journals sci
Term_11792,carlo
Term_11793,carlo methods
Term_11794,carlo methods lattice
Term_11795,carlo simulations
Term_11796,carlo simulations assess
Term_11797,carlo simulations gedanken
Term_11798,carlos
Term_11799,carlos chagas
Term_11800,carlos chagas filho
Term_11801,carlos iii
Term_11802,carlos iii university
Term_11803,carnot
Term_11804,carnot information
Term_11805,carnot information complexity
Term_11806,carpentier
Term_11807,carpentier sr
Term_11808,carpentier sr roper
Term_11809,carries
Term_11810,carries testing
Term_11811,carries testing flattery
Term_11812,carroll
Term_11813,carroll pt
Term_11814,carroll pt bud
Term_11815,cars
Term_11816,cartography
Term_11817,cartography emerging
Term_11818,cartography emerging interdisciplinary
Term_11819,cartography scientific
Term_11820,cartography scientific technical
Term_11821,cartography scientific technological
Term_11822,cartwright
Term_11823,case
Term_11824,case 500
Term_11825,case 500 universities
Term_11826,case absorptive
Term_11827,case absorptive capacity
Term_11828,case accounting
Term_11829,case accounting literature
Term_11830,case astronomy
Term_11831,case augmented
Term_11832,case augmented seriation
Term_11833,case average
Term_11834,case average based
Term_11835,case based
Term_11836,case based classifier
Term_11837,case biochemistry
Term_11838,case biochemistry molecular
Term_11839,case bioelectronics
Term_11840,case biomedical
Term_11841,case biomedical sciences
Term_11842,case biotechnology
Term_11843,case biotechnology belgium
Term_11844,case biotechnology canada
Term_11845,case biotechnology field
Term_11846,case books
Term_11847,case books past
Term_11848,case boolean
Term_11849,case boolean retrieval
Term_11850,case cambodia
Term_11851,case canadian
Term_11852,case canadian universities
Term_11853,case carbon
Term_11854,case carbon nanotube
Term_11855,case cardiovascular
Term_11856,case cardiovascular biology
Term_11857,case chemical
Term_11858,case chemical electrical
Term_11859,case chemistry
Term_11860,case chemistry researchers
Term_11861,case china
Term_11862,case chinese
Term_11863,case chinese language
Term_11864,case combinatorial
Term_11865,case combinatorial chemistry
Term_11866,case communication
Term_11867,case communication studies
Term_11868,case communities
Term_11869,case computer
Term_11870,case computer science
Term_11871,case consumer
Term_11872,case consumer electronics
Term_11873,case cote
Term_11874,case cote divoire
Term_11875,case csic
Term_11876,case csic institutes
Term_11877,case csic members
Term_11878,case csir
Term_11879,case csir india
Term_11880,case demographers
Term_11881,case diabetes
Term_11882,case economics
Term_11883,case economics journals
Term_11884,case education
Term_11885,case electric
Term_11886,case electric vehicle
Term_11887,case electron
Term_11888,case electron microscope
Term_11889,case encyclopedia
Term_11890,case encyclopedia life
Term_11891,case epistemic
Term_11892,case epistemic communities
Term_11893,case erudit
Term_11894,case erudit journal
Term_11895,case etax
Term_11896,case ethnobotany
Term_11897,case eugenics
Term_11898,case eugenics subject
Term_11899,case european
Term_11900,case european banks
Term_11901,case european highly
Term_11902,case european nonnuclear
Term_11903,case european universities
Term_11904,case facebook
Term_11905,case facebook linkedin
Term_11906,case faculty
Term_11907,case faculty biological
Term_11908,case fast
Term_11909,case fast literature
Term_11910,case field
Term_11911,case field university
Term_11912,case flemish
Term_11913,case flemish bof
Term_11914,case fractional
Term_11915,case fractional citation
Term_11916,case fractional counting
Term_11917,case genetic
Term_11918,case genetic engineering
Term_11919,case google
Term_11920,case google query
Term_11921,case google search
Term_11922,case graphene
Term_11923,case guanxi
Term_11924,case hiv
Term_11925,case hiv aids
Term_11926,case human
Term_11927,case human computer
Term_11928,case hungarian
Term_11929,case hungarian players
Term_11930,case india
Term_11931,case information
Term_11932,case information science
Term_11933,case information telecommunication
Term_11934,case informetrics
Term_11935,case informetrics quantitative
Term_11936,case instituto
Term_11937,case instituto biofisica
Term_11938,case integrase
Term_11939,case integrase inhibitors
Term_11940,case interreg
Term_11941,case interreg crossborder
Term_11942,case iran
Term_11943,case iran publications
Term_11944,case israel
Term_11945,case italian
Term_11946,case italian national
Term_11947,case italian sociology
Term_11948,case italy
Term_11949,case japan
Term_11950,case japanese
Term_11951,case japanese national
Term_11952,case japanese patents
Term_11953,case jewish
Term_11954,case jewish studies
Term_11955,case journal
Term_11956,case journal ranking
Term_11957,case kist
Term_11958,case korea
Term_11959,case korea taiwan
Term_11960,case korean
Term_11961,case korean manufacturing
Term_11962,case korean national
Term_11963,case korean public
Term_11964,case lancet
Term_11965,case latin
Term_11966,case latin america
Term_11967,case latin american
Term_11968,case library
Term_11969,case library classification
Term_11970,case linear
Term_11971,case linear canonical
Term_11972,case little
Term_11973,case little magazines
Term_11974,case logarithmic
Term_11975,case logarithmic binning
Term_11976,case major
Term_11977,case major journals
Term_11978,case mammography
Term_11979,case mammography performance
Term_11980,case mathematical
Term_11981,case mathematical logic
Term_11982,case mbd
Term_11983,case mexico
Term_11984,case myspace
Term_11985,case nanocellulose
Term_11986,case nanotechnologies
Term_11987,case nanotechnology
Term_11988,case nash
Term_11989,case nash equilibrium
Term_11990,case northeast
Term_11991,case northeast region
Term_11992,case oncology
Term_11993,case oncology journals
Term_11994,case open
Term_11995,case open access
Term_11996,case optoelectronic
Term_11997,case optoelectronic devices
Term_11998,case optomechatronics
Term_11999,case patients
Term_12000,case patients suspected
Term_12001,case perfectly
Term_12002,case perfectly stratified
Term_12003,case pharmaceuticals
Term_12004,case pharmacology
Term_12005,case pharmacology journals
Term_12006,case polymer
Term_12007,case polymer chemistry
Term_12008,case psychiatric
Term_12009,case psychiatric rating
Term_12010,case pulp
Term_12011,case pulp paper
Term_12012,case rating
Term_12013,case rating researchers
Term_12014,case regional
Term_12015,case regional science
Term_12016,case reprint
Term_12017,case reprint request
Term_12018,case research
Term_12019,case research behaviour
Term_12020,case resistance
Term_12021,case resistance change
Term_12022,case resource
Term_12023,case resource based
Term_12024,case river
Term_12025,case river research
Term_12026,case robotics
Term_12027,case robotics research
Term_12028,case science
Term_12029,case science citation
Term_12030,case science technology
Term_12031,case scientific
Term_12032,case scientific network
Term_12033,case scientific productivity
Term_12034,case scientometricians
Term_12035,case scientometricians absolute
Term_12036,case shanghai
Term_12037,case shanghai ranking
Term_12038,case silicon
Term_12039,case silicon based
Term_12040,case singapore
Term_12041,case slovak
Term_12042,case slovak research
Term_12043,case small
Term_12044,case small country
Term_12045,case small economy
Term_12046,case small open
Term_12047,case snip
Term_12048,case snip versions
Term_12049,case social
Term_12050,case social computing
Term_12051,case social sciences
Term_12052,case social scientists
Term_12053,case sociology
Term_12054,case south
Term_12055,case south africa
Term_12056,case south korea
Term_12057,case space
Term_12058,case space communications
Term_12059,case spain
Term_12060,case spanish
Term_12061,case spanish journals
Term_12062,case spanish research
Term_12063,case spanish university
Term_12064,case species
Term_12065,case species problem
Term_12066,case springer
Term_12067,case springer elsevier
Term_12068,case studies
Term_12069,case studies aerospace
Term_12070,case studies asia
Term_12071,case studies bionanoscience
Term_12072,case studies emerging
Term_12073,case studies international
Term_12074,case studies libraries
Term_12075,case studies mathematical
Term_12076,case studies publishing
Term_12077,case studies vol
Term_12078,case study
Term_12079,case study 20
Term_12080,case study ages
Term_12081,case study angewandte
Term_12082,case study arbitrariness
Term_12083,case study astronomy
Term_12084,case study austria
Term_12085,case study based
Term_12086,case study basic
Term_12087,case study building
Term_12088,case study cefipra
Term_12089,case study ceramics
Term_12090,case study chemical
Term_12091,case study china
Term_12092,case study chinese
Term_12093,case study citation
Term_12094,case study collaborative
Term_12095,case study commerce
Term_12096,case study comparative
Term_12097,case study computation
Term_12098,case study computational
Term_12099,case study computer
Term_12100,case study consumer
Term_12101,case study croatia
Term_12102,case study croatian
Term_12103,case study csic
Term_12104,case study csir
Term_12105,case study cuba
Term_12106,case study cuban
Term_12107,case study cystic
Term_12108,case study dcollection
Term_12109,case study differentiation
Term_12110,case study drivetrain
Term_12111,case study dutch
Term_12112,case study dye
Term_12113,case study east
Term_12114,case study economics
Term_12115,case study effect
Term_12116,case study europeana
Term_12117,case study evolving
Term_12118,case study family
Term_12119,case study field
Term_12120,case study finnish
Term_12121,case study flanders
Term_12122,case study foreign
Term_12123,case study french
Term_12124,case study fuel
Term_12125,case study graphene
Term_12126,case study haituns
Term_12127,case study harvard
Term_12128,case study hybrid
Term_12129,case study impact
Term_12130,case study india
Term_12131,case study indian
Term_12132,case study influence
Term_12133,case study infocomm
Term_12134,case study information
Term_12135,case study instant
Term_12136,case study interaction
Term_12137,case study interactive
Term_12138,case study iranian
Term_12139,case study jihad
Term_12140,case study journal
Term_12141,case study knowledge
Term_12142,case study korea
Term_12143,case study library
Term_12144,case study limitations
Term_12145,case study lncs
Term_12146,case study loca
Term_12147,case study lte
Term_12148,case study macro
Term_12149,case study major
Term_12150,case study modified
Term_12151,case study molecular
Term_12152,case study nanotechnologies
Term_12153,case study papers
Term_12154,case study patient
Term_12155,case study peking
Term_12156,case study policy
Term_12157,case study political
Term_12158,case study polymer
Term_12159,case study problems
Term_12160,case study publication
Term_12161,case study published
Term_12162,case study query
Term_12163,case study radio
Term_12164,case study references
Term_12165,case study registered
Term_12166,case study research
Term_12167,case study scholarly
Term_12168,case study science
Term_12169,case study seven
Term_12170,case study solar
Term_12171,case study southern
Term_12172,case study spanish
Term_12173,case study technology
Term_12174,case study time
Term_12175,case study timed
Term_12176,case study tt
Term_12177,case study university
Term_12178,case study user
Term_12179,case study users
Term_12180,case study using
Term_12181,case study wind
Term_12182,case study windows
Term_12183,case study www
Term_12184,case study xml
Term_12185,case systems
Term_12186,case systems biology
Term_12187,case tail
Term_12188,case tail wagging
Term_12189,case taiwan
Term_12190,case teleophthalmology
Term_12191,case teleophthalmology eye
Term_12192,case terrorism
Term_12193,case terrorism scientometric
Term_12194,case travel
Term_12195,case travel planning
Term_12196,case turkey
Term_12197,case twitter
Term_12198,case twitter activity
Term_12199,case ugr
Term_12200,case ugr rankings
Term_12201,case university
Term_12202,case university extremadura
Term_12203,case web
Term_12204,case web accessibility
Term_12205,case west
Term_12206,case west africa
Term_12207,case west german
Term_12208,case zno
Term_12209,case zno nanostructures
Term_12210,cases
Term_12211,cases library
Term_12212,cases library information
Term_12213,cases scientific
Term_12214,cases scientific creativity
Term_12215,cases scientific publications
Term_12216,cast
Term_12217,cast thousands
Term_12218,cast thousands coauthorship
Term_12219,castellano
Term_12220,castellano 2012
Term_12221,castellano 2012 fairness
Term_12222,casting
Term_12223,casting 1st
Term_12224,casting 1st rock
Term_12225,catalan
Term_12226,catalan literary
Term_12227,catalan literary studies
Term_12228,catalog
Term_12229,catalog analysis
Term_12230,catalog analysis tool
Term_12231,catalog faceted
Term_12232,catalog faceted search
Term_12233,catalog search
Term_12234,catalog search experience
Term_12235,catalogers
Term_12236,catalogers common
Term_12237,catalogers common ground
Term_12238,cataloging
Term_12239,cataloging guide
Term_12240,cataloging process
Term_12241,cataloging professionals
Term_12242,cataloging professionals digital
Term_12243,cataloging rules
Term_12244,cataloging rules using
Term_12245,catalogs
Term_12246,catalogs 1548
Term_12247,catalogs 1548 1929
Term_12248,catalogs diverse
Term_12249,catalogs diverse user
Term_12250,catalogs indexes
Term_12251,catalogs language
Term_12252,catalogs language subject
Term_12253,catalogs mixed
Term_12254,catalogs mixed methods
Term_12255,cataloguing
Term_12256,cataloguing searching
Term_12257,cataloguing searching retrospective
Term_12258,catalonia
Term_12259,catalonia considered
Term_12260,catalonia considered regional
Term_12261,catalonia quality
Term_12262,catalonia quality consolidation
Term_12263,catar
Term_12264,catastrophic
Term_12265,catastrophic events
Term_12266,catch
Term_12267,catch evidence
Term_12268,catch evidence patent
Term_12269,catch forerunners
Term_12270,catch forerunners analysis
Term_12271,catching
Term_12272,catching falling
Term_12273,catching falling world
Term_12274,categorical
Term_12275,categorical analysis
Term_12276,categorical analysis metadata
Term_12277,categorically
Term_12278,categorically organized
Term_12279,categorically organized links
Term_12280,categories
Term_12281,categories algorithms
Term_12282,categories algorithms visualizations
Term_12283,categories design
Term_12284,categories design web
Term_12285,categories iceberg
Term_12286,categories iceberg hypothesis
Term_12287,categories isi
Term_12288,categories isi web
Term_12289,categories library
Term_12290,categories library information
Term_12291,categories normalized
Term_12292,categories normalized impact
Term_12293,categories research
Term_12294,categories research activities
Term_12295,categories scientometrics
Term_12296,categories scientometrics classifying
Term_12297,categories using
Term_12298,categories using impact
Term_12299,categories using reference
Term_12300,categories using text
Term_12301,categories wcs
Term_12302,categories wcs evaluative
Term_12303,categories web
Term_12304,categories web knowledge
Term_12305,categories web science
Term_12306,categorisation
Term_12307,categorisation technique
Term_12308,categorisations
Term_12309,categorisations citations
Term_12310,categorisations citations assessing
Term_12311,categorization
Term_12312,categorization based
Term_12313,categorization based innovativeness
Term_12314,categorization category
Term_12315,categorization category labels
Term_12316,categorization combining
Term_12317,categorization combining filtering
Term_12318,categorization comparison
Term_12319,categorization comparison web
Term_12320,categorization driven
Term_12321,categorization driven cross
Term_12322,categorization indexing
Term_12323,categorization indexing conception
Term_12324,categorization journal
Term_12325,categorization journal citation
Term_12326,categorization legal
Term_12327,categorization legal electronic
Term_12328,categorization medline
Term_12329,categorization medline documents
Term_12330,categorization model
Term_12331,categorization query
Term_12332,categorization query terms
Term_12333,categorization self
Term_12334,categorization self organizing
Term_12335,categorization tags
Term_12336,categorization tags applied
Term_12337,categorization techniques
Term_12338,categorization trend
Term_12339,categorization trend materials
Term_12340,categorization web
Term_12341,categorized
Term_12342,categorized web
Term_12343,categorized web query
Term_12344,categorizing
Term_12345,categorizing materials
Term_12346,categorizing materials research
Term_12347,categorizing medical
Term_12348,categorizing medical documents
Term_12349,categorizing viruses
Term_12350,categorizing viruses potential
Term_12351,category
Term_12352,category 1997
Term_12353,category 1997 2001
Term_12354,category classification
Term_12355,category evolutions
Term_12356,category horticulture
Term_12357,category horticulture case
Term_12358,category labels
Term_12359,category labels reveal
Term_12360,category level
Term_12361,category networks
Term_12362,category networks wikipedia
Term_12363,category openly
Term_12364,category openly available
Term_12365,category relationships
Term_12366,category relationships hierarchical
Term_12367,category scientists
Term_12368,category theory
Term_12369,category theory informetrics
Term_12370,category tree
Term_12371,category tree integration
Term_12372,category water
Term_12373,category water resources
Term_12374,catolica
Term_12375,catolica chile
Term_12376,causa
Term_12377,causa sua
Term_12378,causal
Term_12379,causal explanation
Term_12380,causal explanation information
Term_12381,causal model
Term_12382,causal model productivity
Term_12383,causal theory
Term_12384,causal theory ethnomethodology
Term_12385,causality
Term_12386,causality research
Term_12387,causality research output
Term_12388,causality test
Term_12389,cause
Term_12390,cause economic
Term_12391,cause economic growth
Term_12392,causes
Term_12393,causes differences
Term_12394,causes differences information
Term_12395,causes groos
Term_12396,causes groos droop
Term_12397,causes periodic
Term_12398,causes periodic normal
Term_12399,causes preliminary
Term_12400,causes preliminary investigation
Term_12401,causes subject
Term_12402,causes subject specific
Term_12403,cautionary
Term_12404,cautionary bibliometric
Term_12405,cautionary bibliometric tale
Term_12406,cautionary observations
Term_12407,cautionary observations recent
Term_12408,cautionary view
Term_12409,cautionary view analogy
Term_12410,cautions
Term_12411,cautions food
Term_12412,cautions food web
Term_12413,caveats
Term_12414,caveats journal
Term_12415,caveats journal field
Term_12416,caveats use
Term_12417,caveats use citation
Term_12418,caveats using
Term_12419,caveats using statistical
Term_12420,cbizport
Term_12421,cbkci
Term_12422,cbkci demonstration
Term_12423,cbkci demonstration database
Term_12424,cc
Term_12425,cc index
Term_12426,cc index quantifying
Term_12427,cca
Term_12428,cca framework
Term_12429,cca framework syntactic
Term_12430,cd
Term_12431,cd rom
Term_12432,cd rom internet
Term_12433,cd rom version
Term_12434,cd rom web
Term_12435,cds
Term_12436,cds index
Term_12437,cds index increasing
Term_12438,ce
Term_12439,ce bce
Term_12440,ce bce notation
Term_12441,ced
Term_12442,ced le
Term_12443,ced le dec
Term_12444,cefipra
Term_12445,cefipra bilateral
Term_12446,cefipra bilateral institution
Term_12447,cell
Term_12448,cell biology
Term_12449,cell biology singapore
Term_12450,cell industry
Term_12451,cell industry based
Term_12452,cell industry hybrid
Term_12453,cell research
Term_12454,cell research comprehensive
Term_12455,cell research exploring
Term_12456,cell research field
Term_12457,cell research productivity
Term_12458,cell research trend
Term_12459,cell technology
Term_12460,cell technology 1991
Term_12461,cells
Term_12462,cells cross
Term_12463,cells cross citation
Term_12464,cells field
Term_12465,cells field based
Term_12466,cells perspective
Term_12467,cells perspective paper
Term_12468,cells related
Term_12469,cells related hydrogen
Term_12470,celtic
Term_12471,celtic patterns
Term_12472,censoring
Term_12473,censorship
Term_12474,censorship politics
Term_12475,censorship politics analyzing
Term_12476,census
Term_12477,census microdata
Term_12478,centage
Term_12479,centage hirsch
Term_12480,centage hirsch inspired
Term_12481,center
Term_12482,center biotechnology
Term_12483,center biotechnology information
Term_12484,center crisis
Term_12485,center examination
Term_12486,center examination research
Term_12487,center gravity
Term_12488,center gravity attraction
Term_12489,center science
Term_12490,center science short
Term_12491,center scientists
Term_12492,center scientists social
Term_12493,centered
Term_12494,centered approach
Term_12495,centered bibliometrics
Term_12496,centered bibliometrics cameos
Term_12497,centered design
Term_12498,centered design approach
Term_12499,centered design cross
Term_12500,centered displays
Term_12501,centered evaluation
Term_12502,centered functional
Term_12503,centered functional metadata
Term_12504,centered issues
Term_12505,centered issues perspectives
Term_12506,centered medical
Term_12507,centered medical image
Term_12508,centered methodologies
Term_12509,centered methodologies information
Term_12510,centered research
Term_12511,centered research large
Term_12512,centers
Term_12513,centers excellence
Term_12514,centers excellence nanotechnology
Term_12515,centers peripheries
Term_12516,centers peripheries rise
Term_12517,central
Term_12518,central africa
Term_12519,central area
Term_12520,central area indices
Term_12521,central asia
Term_12522,central asia 1990
Term_12523,central departments
Term_12524,central departments agencies
Term_12525,central eastern
Term_12526,central eastern europe
Term_12527,central eastern european
Term_12528,central europe
Term_12529,central europe 1992
Term_12530,central european
Term_12531,central european countries
Term_12532,central indexes
Term_12533,central indexes citation
Term_12534,central international
Term_12535,central international visibility
Term_12536,central interval
Term_12537,central interval indices
Term_12538,central journals
Term_12539,central journals authors
Term_12540,central science
Term_12541,central science different
Term_12542,central universities
Term_12543,central universities india
Term_12544,centrality
Term_12545,centrality authorship
Term_12546,centrality authorship networks
Term_12547,centrality citations
Term_12548,centrality collaboration
Term_12549,centrality collaboration network
Term_12550,centrality communication
Term_12551,centrality driver
Term_12552,centrality driver preferential
Term_12553,centrality formal
Term_12554,centrality formal rank
Term_12555,centrality gender
Term_12556,centrality gender academic
Term_12557,centrality indicator
Term_12558,centrality indicator interdisciplinarity
Term_12559,centrality measure
Term_12560,centrality measure collaboration
Term_12561,centrality measure collaborative
Term_12562,centrality measures
Term_12563,centrality measures directed
Term_12564,centrality measures impact
Term_12565,centrality measures term
Term_12566,centrality measures weighted
Term_12567,centrality networks
Term_12568,centrality researchgate
Term_12569,centrality researchgate indicator
Term_12570,centrality science
Term_12571,centrality science applications
Term_12572,centre
Term_12573,centre european
Term_12574,centre european commission
Term_12575,centre example
Term_12576,centre example researchers
Term_12577,centre informetric
Term_12578,centre informetric studies
Term_12579,centre periphery
Term_12580,centre periphery model
Term_12581,centred
Term_12582,centred european
Term_12583,centred european union
Term_12584,centres
Term_12585,centres european
Term_12586,centres european national
Term_12587,centres hgf
Term_12588,centres museums
Term_12589,centres museums latin
Term_12590,centres perform
Term_12591,centres perform better
Term_12592,centres publications
Term_12593,centres publications case
Term_12594,centric
Term_12595,centric biomedical
Term_12596,centric biomedical researchers
Term_12597,centric social
Term_12598,centric social network
Term_12599,centroids
Term_12600,centroids core
Term_12601,centroids core tail
Term_12602,centuries
Term_12603,centuries discovering
Term_12604,centuries discovering books
Term_12605,centuries viewpoint
Term_12606,centuries viewpoint leading
Term_12607,century
Term_12608,century adjustment
Term_12609,century adjustment bayer
Term_12610,century african
Term_12611,century african author
Term_12612,century american
Term_12613,century american newspaper
Term_12614,century astronomy
Term_12615,century astronomy time
Term_12616,century chemistry
Term_12617,century citation
Term_12618,century citation distributions
Term_12619,century compared
Term_12620,century compared 1980s
Term_12621,century logic
Term_12622,century logic 19th
Term_12623,century manifested
Term_12624,century manifested scholarly
Term_12625,century mathematics
Term_12626,century reflected
Term_12627,century reflected science
Term_12628,century review
Term_12629,century scaling
Term_12630,century scaling behaviour
Term_12631,ceramics
Term_12632,ceramics metallurgy
Term_12633,ceramics metallurgy polymer
Term_12634,ceremony
Term_12635,cerif
Term_12636,cerif data
Term_12637,cerif data model
Term_12638,cern
Term_12639,cern desy
Term_12640,cern desy slac
Term_12641,cern hermann
Term_12642,cern hermann krige
Term_12643,cern volume
Term_12644,cern volume hermann
Term_12645,cerns
Term_12646,cerns past
Term_12647,cerns past performance
Term_12648,certainty
Term_12649,certainty equivalent
Term_12650,certainty equivalent citation
Term_12651,certification
Term_12652,certification academic
Term_12653,certification academic mandate
Term_12654,cessation
Term_12655,cessation intervention
Term_12656,cessation intervention program
Term_12657,cext
Term_12658,cext index
Term_12659,cext index network
Term_12660,cftri
Term_12661,cftri india
Term_12662,cftri india world
Term_12663,ch
Term_12664,ch 2009
Term_12665,ch 2009 2010
Term_12666,ch index
Term_12667,ch index indicator
Term_12668,chagas
Term_12669,chagas filho
Term_12670,chain
Term_12671,chain management
Term_12672,chain management enhance
Term_12673,chain management exploring
Term_12674,chain reactions
Term_12675,chain reactions nobel
Term_12676,chain research
Term_12677,chains
Term_12678,chains relationship
Term_12679,chains relationship instances
Term_12680,chair
Term_12681,chair scientists
Term_12682,chair scientists productivity
Term_12683,chairs
Term_12684,chairs automated
Term_12685,challenge
Term_12686,challenge capitalism
Term_12687,challenge detailed
Term_12688,challenge detailed addresses
Term_12689,challenge information
Term_12690,challenge information sciences
Term_12691,challenge scientometrics
Term_12692,challenge scientometrics development
Term_12693,challenger
Term_12694,challenger relationship
Term_12695,challenger relationship journals
Term_12696,challenges
Term_12697,challenges ahead
Term_12698,challenges chinese
Term_12699,challenges chinese scientific
Term_12700,challenges erp
Term_12701,challenges erp implementation
Term_12702,challenges industrial
Term_12703,challenges industrial innovation
Term_12704,challenges information
Term_12705,challenges information organization
