EID,Title,Authors,Year,DOI,Abstract
2-s2.0-85168829828,Studying waves of prediction in the brain using narratives,Christopher Baldassano,2023,10.1016/j.neuropsychologia.2023.108664,
2-s2.0-85177548312,Neurocycle Mind-management Approach: Effect on the Resiliency and Wellbeing of Female University Students,"Mona Mansoori, Anahita Khodabakhshi-Koolaee",2023,10.32598/CJNS.9.35.358.2,
2-s2.0-85177441905,Unveiling the Neurobiology of Specific Learning Disorders: Insights from Cognitive Neuroscience,"Satvinder Singh Saini, Krishan Kumar, Akshay Anand",2023,10.1177/09727531231211052,
2-s2.0-85176209748,Cognitive decline assessment in speakers of understudied languages,"Oula Hatahet, Florian Roser, Mohamed L. Seghier",2023,10.1002/trc2.12432,
2-s2.0-85175268044,The Rehabilitation Potential of Neurostimulation for Mild Traumatic Brain Injury in Animal and Human Studies,"M. Windy McNerney, Gene G. Gurkoff, Charlotte Beard, Marian E. Berryhill",2023,10.3390/brainsci13101402,
2-s2.0-85174855171,CONcreTEXT norms: Concreteness ratings for Italian and English words in context,"Maria Montefinese, Lorenzo Gregori, Andrea Amelio Ravelli, Rossella Varvara, Daniele Paolo Radicioni",2023,10.1371/journal.pone.0293031,
2-s2.0-85174830927,Conceptual Clarity and Methodological Rigor in the Examination of Culture Within Developmental Cognitive Neuroscience,Rick A. Cruz,2023,10.1016/j.bpsgos.2023.09.001,
2-s2.0-85174751076,Characterizing affiliative touch in humans and its role in advancing haptic design,"James H. Kryklywy, Preeti Vyas, Karon E. Maclean, Rebecca M. Todd",2023,10.1111/nyas.15056,
2-s2.0-85174080644,Connectome-based predictive modeling of fluid intelligence: evidence for a global system of functionally integrated brain networks,"Ramsey R. Wilcox, Aron K. Barbey",2023,10.1093/cercor/bhad284,
2-s2.0-85173488413,Natural Language Processing in Psychiatry: A Field at an Inflection Point,"Matthew M. Nour, Quentin J.M. Huys",2023,10.1016/j.bpsc.2023.08.001,
2-s2.0-85173136499,Event-related potentials for investigating the willingness to recycle household medical waste,"Bin Xiu Xu, Yi Ding, Muhammad Bilal, Mia Y. Wang",2023,10.1016/j.heliyon.2023.e20722,
2-s2.0-85172196257,Be more mindful: Targeting addictive responses by integrating mindfulness with cognitive bias modification or cue exposure interventions,"Junilla K. Larsen, Gareth J. Hollands, Eric L. Garland, Andrea W.M. Evers, Reinout W. Wiers",2023,10.1016/j.neubiorev.2023.105408,
2-s2.0-85171803398,Play in video games,"Arthur Nguyen, Daphné Bavelier",2023,10.1016/j.neubiorev.2023.105386,
2-s2.0-85170197390,Degenerative and cognitive diseases,Rosie E. Curiel Cid,2023,10.1097/WCO.0000000000001201,
2-s2.0-85170111380,Memory Consolidation during Ultra-short Offline States,"Erin J. Wamsley, Madison Arora, Hannah Gibson, Piper Powell, Megan Collins",2023,10.1162/jocn_a_02035,
2-s2.0-85168317319,Emotion representations in context: maturation and convergence pathways,Shaozheng Qin,2023,10.1016/j.tics.2023.07.009,
2-s2.0-85167900327,Tinnitus—on the interplay between emotion and cognition. German version Tinnitus im Wechselspiel zwischen Emotion und Kognition,"Christian Dobel, Markus Junghöfer",2023,10.1007/s00106-023-01338-2,
2-s2.0-85166978993,Cognitive abilities are associated with specific conjunctions of structural and functional neural subnetworks,"Daniel Kristanto, Andrea Hildebrandt, Werner Sommer, Changsong Zhou",2023,10.1016/j.neuroimage.2023.120304,
2-s2.0-85166430856,A head-to-head comparison of two DREADD agonists for suppressing operant behavior in rats via VTA dopamine neuron inhibition,"Kate A. Lawson, Christina M. Ruiz, Stephen V. Mahler",2023,10.1007/s00213-023-06429-0,
2-s2.0-85165452591,"Complex visual discrimination is impaired after right, but not left, anterior temporal lobectomy","Jeremy Gardette, Chrystèle Mosca, Cassandra Asien, Céline Borg, Laure Mazzola, Philippe Convers, Guillaume Gal, Sonja Banjac, Monica Baciu, Bastien Durocher, Philippe Kahane, Pascal Hot",2023,10.1002/hipo.23569,
2-s2.0-85150252008,"The (In)flexible self: Psychopathology, mindfulness, and neuroscience","Fabio Giommi, Prisca R. Bauer, Aviva Berkovich-Ohana, Henk Barendregt, Kirk Warren Brown, Shaun Gallagher, Ivan Nyklíček, Brian Ostafin, Antonino Raffone, Heleen A. Slagter, Fynn Mathis Trautwein, David R. Vago",2023,10.1016/j.ijchp.2023.100381,
2-s2.0-85145175217,"Correction to: Improved dynamic functional connectivity estimation with an alternating hidden Markov model (Cognitive Neurodynamics, (2023), 17, 5, (1381-1398), 10.1007/s11571-022-09874-3)","Zhiying Long, Xuanping Liu, Yantong Niu, Huajie Shang, Hui Lu, Junying Zhang, Li Yao",2023,10.1007/s11571-022-09921-z,
2-s2.0-85124659037,Micro-foundations of strategic decision-making in family business organisations: A cognitive neuroscience perspective,"Xiaoyu Yu, Tao Liu, Lin He, Yajie Li",2023,10.1016/j.lrp.2022.102198,
2-s2.0-85164739452,Abnormal discharge detection using adaptive neuro-fuzzy inference method with probability density-based feature and modified subtractive clustering,"Guanhao Liang, Haotian Liao, Zhaoyang Huang, Xiaoli Li",2023,10.1016/j.neucom.2023.126513,
2-s2.0-85178224032,The oxford handbook of experimental syntax,Jon Sprouse,2023,10.1093/oxfordhb/9780198797722.001.0001,
2-s2.0-85172234587,"Task-specific oscillatory synchronization of prefrontal cortex, nucleus reuniens, and hippocampus during working memory","Johanne Gertrude de Mooij-van Malsen, Niels Röhrdanz, Anna Sophia Buschhoff, Thomas Schiffelholz, Torfi Sigurdsson, Peer Wulff",2023,10.1016/j.isci.2023.107532,
2-s2.0-85172206173,EEG error-related potentials encode magnitude of errors and individual perceptual thresholds,"Fumiaki Iwane, Aleksander Sobolewski, Ricardo Chavarriaga, José del R. Millán",2023,10.1016/j.isci.2023.107524,
2-s2.0-85171543547,Protocol for simulating foraging behavior strategy and dual-choice predatory sensory cue experiments in aerial-hawking bats,"Lixin Gong, Yang Geng, Zhiqiang Wang, Aiqing Lin, Hui Wu, Jiang Feng, Tinglei Jiang",2023,10.1016/j.xpro.2023.102494,
2-s2.0-85170667216,Melodic intonation therapy for non-fluent aphasia after stroke: A clinical pilot study on behavioral and DTI findings,"Xiaoying Zhang, Zuliyaer Talifu, Jianjun Li, Xiaobing Li, Feng Yu",2023,10.1016/j.isci.2023.107453,
2-s2.0-85169448709,Identifying critical kinematic features of animate motion and contribution to animacy perception,"Yifei Han, Wenhao Han, Liang Li, Tao Zhang, Yizheng Wang",2023,10.1016/j.isci.2023.107658,
2-s2.0-85169302641,Topographic representation of visually evoked emotional experiences in the human cerebral cortex,"Changde Du, Kaicheng Fu, Bincheng Wen, Huiguang He",2023,10.1016/j.isci.2023.107571,
2-s2.0-85167820563,Protocol to conduct functional magnetic resonance spectroscopy in different age groups of human participants,"Sebastian M. Frank, Markus Becker, Wilhelm M. Malloni, Yuka Sasaki, Mark W. Greenlee, Takeo Watanabe",2023,10.1016/j.xpro.2023.102493,
2-s2.0-85167794127,Protocol for geometric transformation of cognitive maps for generalization across hippocampal-prefrontal circuits,"Justin D. Shin, Wenbo Tang, Shantanu P. Jadhav",2023,10.1016/j.xpro.2023.102513,
2-s2.0-85165233834,Studying naturalistic human communication using dual-EEG and audio-visual recordings,"Sara Mazzini, Judith Holler, Linda Drijvers",2023,10.1016/j.xpro.2023.102370,
2-s2.0-85164275351,Protocol for calcium imaging of dorsal and ventral CA1 neurons in head-fixed mice,"Miru Yun, Jonghan Shin, Min Whan Jung",2023,10.1016/j.xpro.2023.102439,
2-s2.0-85163879898,Protocol for modulating the noradrenergic pathway from locus coeruleus to heart to prevent sudden unexpected death in epilepsy in mouse models,"Qing Xu, Yu Ling Wang, Xi Ting Lian, Lu Liu, Wei Hui Shao, Jia Xuan Gu, Le Yuan Gu, Qian Yu, Yuan Li Zhang, Zhuo Yue Zhang, Hai Xiang Ma, Yue Shen, Hong Hai Zhang",2023,10.1016/j.xpro.2023.102403,
2-s2.0-85164228428,Melvyn A. Goodale: A visual neuroscientist in action,A. David Milner,2023,10.1016/j.neuropsychologia.2023.108637,
2-s2.0-85171683030,Strengthening Brain Research in Africa,"Abdullahi Tunde Aborode, Nike Jesutofunmi Idowu, Samuel Tundealao, Joseph Jaiyeola, Ogunware Adedayo Emmanuel",2023,10.3233/ADR-230062,
2-s2.0-85180979312,Toward the Aircraft of the Future: A Perspective from Consciousness,"Cordelia Mattuvarkuzhali Ezhilarasu, Jim Angus, Ian K. Jennions",2023,10.1142/S2705078523300013,
2-s2.0-85172689410,Gender-Specific Interactions in a Visual Object Recognition Task in Persons with Opioid Use Disorder,"Jo Ann Petrie, Logan R. Kowallis, Sarah Kamhout, Kyle B. Bills, Daniel Adams, Donovan E. Fleming, Bruce L. Brown, Scott C. Steffensen",2023,10.3390/biomedicines11092460,
2-s2.0-85172406880,From Brain Models to Robotic Embodied Cognition: How Does Biological Plausibility Inform Neuromorphic Systems?,"Martin Do Pham, Amedeo D’Angiulli, Maryam Mehri Dehnavi, Robin Chhabra",2023,10.3390/brainsci13091316,
2-s2.0-85172380366,A Quantum Model of Trust Calibration in Human–AI Interactions,"Luisa Roeder, Pamela Hoyte, Johan van der Meer, Lauren Fell, Patrick Johnston, Graham Kerr, Peter Bruza",2023,10.3390/e25091362,
2-s2.0-85172228464,A 20-Year Systematic Review of the ‘Reading the Mind in the Eyes’ Test across Neurodegenerative Conditions,"Owen Stafford, Christina Gleeson, Ciara Egan, Conall Tunney, Brendan Rooney, Fiadhnait O’Keeffe, Garret McDermott, Simon Baron-Cohen, Tom Burke",2023,10.3390/brainsci13091268,
2-s2.0-85171811403,Beautification of images by generative adversarial networks,"Amar Music, Anne Sofie Maerten, Johan Wagemans",2023,10.1167/jov.23.10.14,
2-s2.0-85170343538,Introducing a New Mobile Electroencephalography System and Evaluating Its Quality in Comparison to Clinical Electroencephalography,"Paria Samimisabet, Laura Krieger, Themis Nethar, Gordon Pipa",2023,10.3390/s23177440,
2-s2.0-85170224497,"A Touchscreen-Based, Multiple-Choice Approach to Cognitive Enrichment of Captive Rhesus Macaques (Macaca mulatta)","Antonino Calapai, Dana Pfefferle, Lauren C. Cassidy, Anahita Nazari, Pinar Yurt, Ralf R. Brockhausen, Stefan Treue",2023,10.3390/ani13172702,
2-s2.0-85169847499,EEG Phase Can Be Predicted with Similar Accuracy across Cognitive States after Accounting for Power and Signal-to-Noise Ratio,"Brian Kim, Brian A. Erickson, Guadalupe Fernandez-Nunez, Ryan Rich, Georgios Mentzelopoulos, Flavia Vitale, John D. Medaglia",2023,10.1523/ENEURO.0050-23.2023,
2-s2.0-85169505971,70 Years of Human Cingulate Cortex Stimulation. Functions and Dysfunctions Through the Lens of Electrical Stimulation,"Veronica Pelliccia, Maria Del Vecchio, Pietro Avanzini, Martina Revay, Ivana Sartori, Fausto Caruana",2023,10.1097/WNP.0000000000000961,
2-s2.0-85168818434,A Patient's Wish List for Imaging Artificial Intelligence (and Radiology),David Andrews,2023,10.1016/j.jacr.2023.06.016,
2-s2.0-85165947397,Processing of attentional and emotional stimuli depends on retrospective response of foot pressure: Conceptualizing neuron-cognitive distribution in human brain,"Bharti Mishra, Shashikanta Tarai, Vinod Ratre, Arindam Bit",2023,10.1016/j.compbiomed.2023.107186,
2-s2.0-85160265729,Weighted ordinal connection based functional network classification for schizophrenia disease detection using EEG signal,"Mangesh R. Kose, Mitul K. Ahirwal, Mithilesh Atulkar",2023,10.1007/s13246-023-01273-0,
2-s2.0-85152257627,Causal inference in cognitive neuroscience,"David Danks, Isaac Davis",2023,10.1002/wcs.1650,
2-s2.0-85151650569,A General Integrative Neurocognitive Modeling Framework to Jointly Describe EEG and Decision-making on Single Trials,"Amin Ghaderi-Kangavari, Jamal Amani Rad, Michael D. Nunez",2023,10.1007/s42113-023-00167-4,
2-s2.0-85146567678,Music in the Middle: A Culture-Cognition-Mediator Model of Musical Functionality,Noah R. Fram,2023,10.1177/17456916221144266,
2-s2.0-85140362209,Descartes vs. the Scholastics: Lessons from Contemporary Philosophy and Cognitive Neuroscience,Yakir Levin,2023,10.1007/s12136-022-00536-x,
2-s2.0-85137029063,"Methods in cognitive pupillometry: Design, preprocessing, and statistical analysis","Sebastiaan Mathôt, Ana Vilotijević",2023,10.3758/s13428-022-01957-7,
2-s2.0-85136144530,SCOPE: The South Carolina psycholinguistic metabase,"Chuanji Gao, Svetlana V. Shinkareva, Rutvik H. Desai",2023,10.3758/s13428-022-01934-0,
2-s2.0-85168800918,EEG Reveals Alterations in Motor Imagery in People With Amnestic Mild Cognitive Impairment,"Yanfen Zhen, Lijuan Gao, Jiu Chen, Lihua Gu, Hao Shu, Zan Wang, Duan Liu, Zhijun Zhang",2023,10.1093/geronb/gbad076,
2-s2.0-85150020194,The prevalence of obstructive sleep apnoea risk factors in individuals with cognitive impairment: South London cross-sectional study,"Leiah Kirsh, Rebecca Cox, Heloise Mongue-Din, Robert Lawrence",2023,10.1192/bjb.2022.38,
2-s2.0-85181398726,A Case-based Channel Selection Method for EEG Emotion Recognition Using Interpretable Transformer Networks,"Yang Du, Zijing Guan, Weichen Huang, Xichun Zhang, Qiyun Huang",2023,10.1145/3627341.3630372,
2-s2.0-85160073763,The effect of social value orientation on third-party altruistic behaviors in children aged 10-12 years: The role of emotion,"Peiqi Chen, Yinling Zhang, Xinmu Hu, Jing Wang, Xiaoqin Mai",2023,10.3724/SP.J.1041.2023.01255,
2-s2.0-85169619724,Super-additive interaction of homo- and heterosynaptic plasticity in a hot electron transfer optosynapse for visual sensing memory and logic operations,"Li Chung Shih, Kuan Ting Chen, Shi Cheng Mao, Ya Chi Huang, Fang Jui Chu, Tzu Hsiang Liu, Wen Hui Cheng, Jen Sue Chen",2023,10.1039/d3tc02255b,
2-s2.0-85166029201,TMS-induced inhibition of the left premotor cortex modulates illusory social perception,"Charline Peylo, Elisabeth F. Sterner, Yifan Zeng, Annika Bingger, Gabriel Engelhardt, Viola Gnam, Marie Gottmann, Christof Leininger, Zdislava Lukasova, Keno Mersmann, Ada Özbey, Liisbeth Pirn, Jacob Riecke, Sarah Schellnast, Gina Marie Schowe, Dominik Weidenhöfer, Jasmin Wunderatzke, Nele Wunner, Elisabeth V.C. Friedrich",2023,10.1016/j.isci.2023.107297,
2-s2.0-85165680985,The neural correlates of individual differences in numerosity perception: A voxel-based morphometry study,"Xinyi Yuan, Liangping Ni, Huan Li, Dai Zhang, Ke Zhou",2023,10.1016/j.isci.2023.107392,
2-s2.0-85165347419,Predictive coordination of breathing during intra-personal speaking and listening,"Omid Abbasi, Daniel S. Kluger, Nikos Chalas, Nadine Steingräber, Lars Meyer, Joachim Gross",2023,10.1016/j.isci.2023.107281,
2-s2.0-85165023045,Saccadic trajectories deviate toward or away from optimally informative visual features,"Serena Castellotti, Martin Szinte, Maria Michela Del Viva, Anna Montagnini",2023,10.1016/j.isci.2023.107282,
2-s2.0-85162959992,Permutation-based group sequential analyses for cognitive neuroscience,"John P. Veillette, Letitia Ho, Howard C. Nusbaum",2023,10.1016/j.neuroimage.2023.120232,
2-s2.0-85168845424,Impulsivity-related right superior frontal gyrus as a biomarker of internet gaming disorder,"Pengyu Zhang, Yu Pan, Rujing Zha, Hongwen Song, Cunfeng Yuan, Qian Zhao, Yi Piao, Jiecheng Ren, Yijun Chen, Peipeng Liang, Ran Tao, Zhengde Wei, Xiaochu Zhang",2023,10.1136/gpsych-2022-100985,
2-s2.0-85171389005,Computational cognitive neuroscience framework to co-design virtual reality games with autistic adults: Iterative co-design in educational technology,Javier Alejandro Rojas,2023,10.4018/978-1-6684-6868-5.ch003,
2-s2.0-85168805974,Effects of Repetitive Transcranial Magnetic Stimulation at the Cerebellum on Working Memory,"Jiangnan Yao, Bo Song, Jingping Shi, Kuiying Yin, Wentao Du",2023,10.3390/brainsci13081158,
2-s2.0-85168222849,Emotion in the mind's eye: Imagination for adaptive cognition,"Chantelle M. Cocquyt, Daniela J. Palombo",2023,10.1111/nyas.15011,
2-s2.0-85167883299,Obesity Impairs Cognitive Function with No Effects on Anxiety-like Behaviour in Zebrafish,"Alejandra Godino-Gimeno, Per Ove Thörnqvist, Mauro Chivite, Jesús M. Míguez, Svante Winberg, José Miguel Cerdá-Reverter",2023,10.3390/ijms241512316,
2-s2.0-85167450478,A Naturalistic Setup for Presenting Real People and Live Actions in Experimental Psychology and Cognitive Neuroscience Studies,"Tuğçe Nur Pekçetin, Şeyda Evsen, Serkan Pekçetin, Cengiz Acarturk, Burcu A. Urgen",2023,10.3791/65436,
2-s2.0-85166271079,Crowdsourced EEG experiments: A proof of concept for remote EEG acquisition using EmotivPRO Builder and EmotivLABS,"Nikolas S. Williams, William King, Geoffrey Mackellar, Roshini Randeniya, Alicia McCormick, Nicholas A. Badcock",2023,10.1016/j.heliyon.2023.e18433,
2-s2.0-85165599666,Learning the principles of stimulus control analysing human behaviour,"Haris M. Khalid, Taha Zoulagh, Mohammad Abuashour",2023,10.1016/j.lmot.2023.101891,
2-s2.0-85165255463,Nomen est omen: Serial reaction time task is not a motor but a visuomotor learning task,"Felipe Pedraza, Teodóra Vékony, Dezso Nemeth",2023,10.1111/ejn.16092,
2-s2.0-85164116746,"Executive functions in the brain, development and social context: Early contributions by neuroscientist, Adele Diamond",B. J. Casey,2023,10.1016/j.dcn.2023.101272,
2-s2.0-85163420694,No evidence for discontinuity between infants and adults,"Shari Liu, Gal Raz, Frederik Kamps, Tobias Grossmann, Rebecca Saxe",2023,10.1016/j.tics.2023.04.003,
2-s2.0-85149418217,A second-order adaptive mental network model relating dreaming to creativity,"Dominique Budding, Shaney Doornkamp, Jan Treur",2023,10.1016/j.cogsys.2022.12.001,
2-s2.0-85134653331,Development and validation of the Mental-Physical Verb Norms (MPVN): A text analysis measure of mental state attribution,"Ram Isaac Orr, Michael Gilead",2023,10.3758/s13428-022-01911-7,
2-s2.0-85166438608,Psychosocial impact of being diagnosed with mild cognitive impairment: patient and carer perspective,"Nida Munawar, Liam Kennedy, Memoona Usman, Diana Burgui, Irene Bruce, David Robinson, Elaine Greene",2023,10.1192/bjo.2023.499,
2-s2.0-85165246022,How and when EEG reflects changes in neuronal connectivity due to time awake,"Sophia Snipes, Elias Meier, Sarah Nadine Meissner, Hans Peter Landolt, Reto Huber",2023,10.1016/j.isci.2023.107138,
2-s2.0-85165072868,Motor variability modulates calibration of precisely timed movements,"Nadine Schlichting, Clara Fritz, Eckart Zimmermann",2023,10.1016/j.isci.2023.107204,
2-s2.0-85164680572,Internal selective attention is delayed by competition between endogenous and exogenous factors,"Edward F. Ester, Asal Nouri",2023,10.1016/j.isci.2023.107259,
2-s2.0-85163851565,"Convergence of location, direction, and theta in the rat anteroventral thalamic nucleus","Eleonora Lomi, Kate J. Jeffery, Anna S. Mitchell",2023,10.1016/j.isci.2023.106993,
2-s2.0-85163624691,Probabilistic integration of preceding responses explains response bias in perceptual decision making,"Daniel Schlunegger, Fred W. Mast",2023,10.1016/j.isci.2023.107123,
2-s2.0-85163286837,Fixation-related electrical potentials during a free visual search task reveal the timing of visual awareness,"Zeguo Qiu, Stefanie I. Becker, Hongfeng Xia, Zachary Hamblin-Frohman, Alan J. Pegna",2023,10.1016/j.isci.2023.107148,
2-s2.0-85161809265,The neurophysiology of continuous action monitoring,"Saskia Wilken, Adriana Böttcher, Nico Adelhöfer, Markus Raab, Sven Hoffmann, Christian Beste",2023,10.1016/j.isci.2023.106939,
2-s2.0-85161336258,Memory rescue and learning in synaptic impaired neuronal circuits,"Kwan Tung Li, Daoyun Ji, Changsong Zhou",2023,10.1016/j.isci.2023.106931,
2-s2.0-85175102522,ClueReader: Heterogeneous Graph Attention Network for Multi-Hop Machine Reading Comprehension,"Peng Gao, Feng Gao, Peng Wang, Jian Cheng Ni, Fei Wang, Hamido Fujita",2023,10.3390/electronics12143183,
2-s2.0-85164914701,Exploring the Neural Processes behind Narrative Engagement: An EEG Study,"Hossein Dini, Aline Simonetti, Luis Emilio Bruni",2023,10.1523/ENEURO.0484-22.2023,
2-s2.0-85164649225,From Computation to Clinic,"Sarah W. Yip, Deanna M. Barch, Henry W. Chase, Shelly Flagel, Quentin J.M. Huys, Anna B. Konova, Read Montague, Martin Paulus",2023,10.1016/j.bpsgos.2022.03.011,
2-s2.0-85164244935,"Retrospective: Patricia S. Goldman-Rakic, pioneer in neuroscience and co-founder of the journal, Cerebral Cortex",Amy F.T. Arnsten,2023,10.1093/cercor/bhad159,
2-s2.0-85164243907,Message from Editor-in-Chief of the Schizophrenia Bulletin (2005-2023),William Carpenter,2023,10.1093/schbul/sbad059,
2-s2.0-85164238687,Supporting Resilience of Older Adults with Cognitive Decline Requires a Multi-Level System Approach,"Geeske Peeters, Almar Kok, Simone R. De Bruin, Crétien Van Campen, Maud Graff, Minke Nieuwboer, Martijn Huisman, Barbara Van Munster, Eddy A. Van Der Zee, Martien J. Kas, Marieke Perry, Debby L. Gerritsen, Elisabeth Vreede-Chabot, Anne Mei The, Hein Van Hout, Franka C. Bakker, Wilco P. Achterberg, Jenny T. Van Der Steen, Carolien Smits, René Melis, Marcel Olde Rikkert",2023,10.1159/000529337,
2-s2.0-85164233902,Brain energetics and the connectionist concept in cognitive neuroscience,Yuri I. Arshavsky,2023,10.1152/jn.00184.2023,
2-s2.0-85160363400,The impact of the human thalamus on brain-wide information processing,"James M. Shine, Laura D. Lewis, Douglas D. Garrett, Kai Hwang",2023,10.1038/s41583-023-00701-0,
2-s2.0-85159215618,Sensitivity and specificity in affective and social learning in adolescence,"Emily Towner, Gabriele Chierchia, Sarah Jayne Blakemore",2023,10.1016/j.tics.2023.04.002,
2-s2.0-85146274875,Social Attention: Developmental Foundations and Relevance for Autism Spectrum Disorder,"Terje Falck-Ytter, Johan Lundin Kleberg, Ana Maria Portugal, Emilia Thorup",2023,10.1016/j.biopsych.2022.09.035,
2-s2.0-85140335618,Neuropsychological profiles and neural correlates in typical and atypical variants of Alzheimer disease: A systematic qualitative review Perfil neuropsicológico y correlato neural en enfermedad de Alzheimer típica y variantes atípicas: Una revisión sistemática cualitativa,"C. Fredes-Roa, F. Gutiérrez-Barría, C. Ramírez-Bruna, I. Cigarroa, D. Martella, T. Julio-Ramos, C. Méndez-Orellana, D. Toloza-Ramírez",2023,10.1016/j.neurop.2022.07.007,
2-s2.0-85165155125,Gaussian process classification for psychophysical detection tasks in multiple populations (wide big data) using transfer learning,"Hossana Twinomurinzi, Herman C. Myburgh",2023,,
2-s2.0-85164015983,The Dimensions of Reflection Coding Scheme: A New Tool for Measuring the Impact of Designing for Reflection in Early Childhood,"Layne Jackson Hubbard, Norielle Adricula, Chelsea Brown, E. Margaret Perkoff, Shiran Dudy, Eliana Colunga, Tom Yeh",2023,10.1145/3591196.3593512,
2-s2.0-85163560445,Highly reproducible eyeblink timing during formula car driving,"Ryota Nishizono, Naoki Saijo, Makio Kashino",2023,10.1016/j.isci.2023.106803,
2-s2.0-85163365414,Target enhancement but not distractor suppression in auditory neural tracking during continuous speech,"Martin Orf, Malte Wöstmann, Ronny Hannemann, Jonas Obleser",2023,10.1016/j.isci.2023.106849,
2-s2.0-85161349219,The perceptual categorization of multidimensional stimuli is hierarchically organized,"Chi Chen, Livia de Hoz",2023,10.1016/j.isci.2023.106941,
2-s2.0-85161332882,Studying neural responses for multi-component economic choices in human and non-human primates using concept-based behavioral choice experiments,"Alexandre Pastor-Bernier, Konstantin Volkmann, Leo Chi U Seak, Arkadiusz Stasiak, Charles R. Plott, Wolfram Schultz",2023,10.1016/j.xpro.2023.102296,
2-s2.0-85160437713,Intensive assessment of executive functions derived from performance in cognitive training games,"Natalia Soldevila-Domenech, Ilario De Toma, Laura Forcano, Patrícia Diaz-Pellicer, Aida Cuenca-Royo, Beatriz Fagundo, Thais Lorenzo, Maria Gomis-Gonzalez, Gonzalo Sánchez-Benavides, Karine Fauria, Carolina Sastre, Íñigo Fernandez De Piérola, José Luis Molinuevo, Antonio Verdejo-Garcia, Rafael de la Torre",2023,10.1016/j.isci.2023.106886,
2-s2.0-85160398331,Mechanistic impacts of bacterial diet on dopaminergic neurodegeneration in a Caenorhabditis elegans α-synuclein model of Parkinson's disease,"Anthony L. Gaeta, Karolina Willicott, Corey W. Willicott, Luke E. McKay, Candice M. Keogh, Tyler J. Altman, Logan C. Kimble, Abigail L. Yarbrough, Kim A. Caldwell, Guy A. Caldwell",2023,10.1016/j.isci.2023.106859,
2-s2.0-85160244429,Hippocampal output profoundly impacts the interpretation of tactile input patterns in SI cortical neurons,"Leila Etemadi, Jonas M.D. Enander, Henrik Jörntell",2023,10.1016/j.isci.2023.106885,
2-s2.0-85160080403,Unveiling the time course of visual stabilization through human electrophysiology,"Yong Hoon Chung, Viola S. Störmer",2023,10.1016/j.isci.2023.106800,
2-s2.0-85159817687,White matter and neurochemical mechanisms underlying age-related differences in motor processing speed,"Amirhossein Rasooli, Hamed Zivari Adab, Peter Van Ruitenbeek, Akila Weerasekera, Sima Chalavi, Koen Cuypers, Oron Levin, Thijs Dhollander, Ronald Peeters, Stefan Sunaert, Dante Mantini, Stephan P. Swinnen",2023,10.1016/j.isci.2023.106794,
2-s2.0-85159576660,WaveMAP for identifying putative cell types from in vivo electrophysiology,"Kenji Lee, Nicole Carr, Alec Perliss, Chandramouli Chandrasekaran",2023,10.1016/j.xpro.2023.102320,
2-s2.0-85159095269,The nervous system tunes sensorimotor gains when reaching in variable mechanical environments,"Philipp Maurus, Kuira Jackson, Joshua G.A. Cashaback, Tyler Cluff",2023,10.1016/j.isci.2023.106756,
2-s2.0-85152746695,Protocol for quantitative characterization of human retinotopic maps using quasiconformal mapping,"Duyan Ta, Negar Jalili Mallak, Zhong Lin Lu, Yalin Wang",2023,10.1016/j.xpro.2023.102246,
2-s2.0-85163459050,Aperiodic neural activity reflects metacontrol,"Chenyan Zhang, Ann Kathrin Stock, Moritz Mückschel, Bernhard Hommel, Christian Beste",2023,10.1093/cercor/bhad089,
2-s2.0-85182012836,A functional framework for multisensory and interactive mediated social touch experiences,"Merle Fairhurst, Irene Valori",2023,10.1145/3604321.3604349,
2-s2.0-85153061440,Cognitive effort and active inference,"Thomas Parr, Emma Holmes, Karl J. Friston, Giovanni Pezzulo",2023,10.1016/j.neuropsychologia.2023.108562,
2-s2.0-85163967977,The Routledge international handbook of psycholinguistic and cognitive processes: Second edition,"Jackie Guendouzi, Filip Loncke, Mandy J. Williams",2023,10.4324/9781003204213,
2-s2.0-85183410428,SOCIO-EPISTEMIC FORCES OF SCIENTIFIC CREATIVITY. AN ETHNOGRAPHIC APPROACH TO EXPERIMENTAL DESIGN IN THE COGNITIVE NEUROSCIENCE OF PERCEPTION,"Nicolás Trujillo Osorio, Juan Felipe Espinosa Cristia, Natalia Hirmas Montecinos",2023,10.32995/cogency.v15i2.408,
2-s2.0-85182670408,Enculturated Pedagogy: A Dialectic Approach to Music Teaching and Learning,Benjamin C. Helton,2023,10.5406/21627223.237.04,
2-s2.0-85163768162,Robust Removal of Slow Artifactual Dynamics Induced by Deep Brain Stimulation in Local Field Potential Recordings Using SVD-Based Adaptive Filtering,"Nooshin Bahador, Josh Saha, Mohammad R. Rezaei, Saha Utpal, Ayda Ghahremani, Robert Chen, Milad Lankarany",2023,10.3390/bioengineering10060719,
2-s2.0-85163673505,The Evolution and Future Development of Attention Networks,Michael I. Posner,2023,10.3390/jintelligence11060098,
2-s2.0-85161666228,Characterizing social and cognitive EEG-ERP through multiple kernel learning,"Daniel Nieto Mora, Stella Valencia, Natalia Trujillo, Jose David López, Juan David Martínez",2023,10.1016/j.heliyon.2023.e16927,
